ene, dsp, sxy, tpi,, emt, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
155,0.1,3,0.1,3.14,0.942,8.05E+00,-1.14E-03,1.29E-06,1.29E-06,-1.14E-03,8.05E+00,7.82E+00,2.14E-04,-4.09E-07,5.66E-10,5.66E-10,-4.09E-07,2.14E-04,7.82E+00,
155,0.1,4,0.001,2.5,0.01,1.01E+01,-3.40E-04,9.39E-07,9.39E-07,-3.40E-04,1.01E+01,9.97E+00,2.31E-04,2.24E-07,2.38E-10,2.38E-10,2.24E-07,2.31E-04,9.97E+00,
155,0.1,4,0.001,3,0.012,1.02E+01,-8.36E-04,1.46E-06,1.46E-06,-8.36E-04,1.02E+01,1.02E+01,-4.95E-04,1.03E-06,1.42E-10,1.42E-10,1.03E-06,-4.95E-04,1.02E+01,
155,0.1,4,0.001,3.14,0.01256,9.88E+00,-5.29E-04,1.19E-06,1.19E-06,-5.29E-04,9.88E+00,9.65E+00,8.13E-04,-4.93E-07,5.61E-10,5.61E-10,-4.93E-07,8.13E-04,9.65E+00,
155,0.1,4,0.01,2.5,0.1,1.02E+01,-4.72E-04,9.67E-07,9.67E-07,-4.72E-04,1.02E+01,1.01E+01,3.30E-04,-3.59E-08,3.35E-10,3.35E-10,-3.59E-08,3.30E-04,1.01E+01,
155,0.1,4,0.01,3,0.12,9.38E+00,-5.00E-04,1.06E-06,1.06E-06,-5.00E-04,9.38E+00,9.44E+00,-9.01E-04,1.56E-06,-1.67E-10,1.67E-10,1.56E-06,-9.01E-04,9.44E+00,
155,0.1,4,0.01,3.14,0.1256,1.01E+01,-5.36E-04,1.06E-06,1.06E-06,-5.36E-04,1.01E+01,9.91E+00,6.45E-04,-4.22E-07,4.93E-10,4.93E-10,-4.22E-07,6.45E-04,9.91E+00,
155,0.1,4,0.1,2.5,1,9.89E+00,-1.16E-03,1.30E-06,1.30E-06,-1.16E-03,9.89E+00,9.63E+00,4.45E-04,-7.05E-07,6.69E-10,6.69E-10,-7.05E-07,4.45E-04,9.63E+00,
155,0.1,4,0.1,3,1.2,1.05E+01,-1.09E-03,1.23E-06,1.23E-06,-1.09E-03,1.05E+01,1.04E+01,-6.74E-04,7.06E-07,1.73E-10,1.73E-10,7.06E-07,-6.74E-04,1.04E+01,
155,0.1,4,0.1,3.14,1.256,1.01E+01,-1.04E-03,1.45E-06,1.45E-06,-1.04E-03,1.01E+01,1.03E+01,-2.02E-03,2.68E-06,-4.11E-10,4.11E-10,2.68E-06,-2.02E-03,1.03E+01,
155,0.1,5,0.001,2.5,0.0125,1.19E+01,-9.57E-04,1.41E-06,1.41E-06,-9.57E-04,1.19E+01,1.19E+01,-9.60E-04,1.41E-06,-1.02E-12,1.02E-12,1.41E-06,-9.60E-04,1.19E+01,
